address,x,y
9 JLN KUKOH,28616.4798032753,30009.99719139
640 ROWELL RD,30381.1007417506,32195.1006872542
264 WATERLOO ST,30110.7825852642,31263.3880105782
32 NEW MKT RD,29032.9361134693,29698.3572138008
5 TG PAGAR PLAZA,29078.1458873488,28745.7149225492
271 QUEEN ST,30300.6547367703,31476.0531342756
232 BAIN ST,30229.0458933879,31024.9555404671
1C CANTONMENT RD,28929.0768545093,28879.3522476424
1F CANTONMENT RD,28876.2228105376,28717.6807160303
1B CANTONMENT RD,28899.779201814,28918.0879419483
111 TECK WHYE LANE,18961.7913760673,39984.5339101553
114 TECK WHYE LANE,18806.4108935306,40054.0850754678
460 CHOA CHU KANG AVE 4,17059.738596987,39978.3695628587
121 TECK WHYE LANE,18739.7114565708,40031.4834574703
404 CHOA CHU KANG AVE 3,17491.1481386423,40233.4486975838
692B CHOA CHU KANG CRES,18881.0282231532,42505.549673235
115 TECK WHYE LANE,18859.2659666128,40101.4963911437
422 CHOA CHU KANG AVE 4,17721.3701457577,40468.6515132952
680 CHOA CHU KANG CRES,18185.9974980187,42799.4777650591
771 CHOA CHU KANG ST 54,18651.9868490109,41796.7162027005
229 CHOA CHU KANG CTRL,18323.4148099907,40291.3690874726
237 CHOA CHU KANG CTRL,18537.0943651618,40157.9805046692
157 JLN TECK WHYE,19482.5344502246,40129.2394499257
416 CHOA CHU KANG AVE 4,17846.6693980368,40588.4744700845
414 CHOA CHU KANG AVE 4,17865.0282316841,40458.6706759334
239 CHOA CHU KANG CTRL,18454.8566166172,40158.1241867878
423 CHOA CHU KANG AVE 4,17649.4000237221,40442.9267539345
621 CHOA CHU KANG ST 62,18416.738601055,42336.1928886808
657 CHOA CHU KANG CRES,18713.5709059173,42479.8839364406
418 CHOA CHU KANG AVE 4,17765.3112068316,40481.4970034417
608 CHOA CHU KANG ST 62,18131.9037077026,42261.1440586802
412 CHOA CHU KANG AVE 3,17879.8586962027,40419.2080657296
635 CHOA CHU KANG NTH 6,18683.5641954355,42139.8608230166
353 CHOA CHU KANG CTRL,17992.9215409718,40455.4000689518
453 CHOA CHU KANG AVE 4,17047.9093543952,40216.7011800483
689A CHOA CHU KANG DR,18763.39615383,42761.0766530447
692A CHOA CHU KANG CRES,18869.2529181084,42453.6963493414
689B CHOA CHU KANG DR,18704.747788664,42777.2021937817
760 CHOA CHU KANG NTH 5,18424.2027766434,41659.5525969677
544 CHOA CHU KANG ST 52,18033.5888471948,41735.8915392365
690A CHOA CHU KANG CRES,18899.150694117,42737.5484109949
474 CHOA CHU KANG AVE 3,17445.1701028002,40060.9164383207
